Sort Detective																
Algorithm 0	Average Sort Time for Three Runs (nsec)															
Input Size	Random	  Ascending	Descending	nlnn	    n^2											
1000	      1.20E+05	8.66E+04	8.57E+04	  3.33E+02	1.00E+06											
2000	      2.59E+05	1.81E+05	1.75E+05	  6.06E+02	4.00E+06											
3000	      3.99E+05	2.45E+05	2.50E+05	  8.63E+02	9.00E+06											
4000	      5.43E+05	3.34E+05	3.32E+05	  1.11E+03	1.60E+07											
6000	      8.54E+05	4.96E+05	5.42E+05	  1.59E+03	3.60E+07											
10000	      1.44E+06	8.51E+05	8.56E+05	  2.50E+03	1.00E+08											
15000	      2.24E+06	1.29E+06	1.26E+06	  3.59E+03	2.25E+08											
I think that the time complexity of algorithm 0 is O(nLogn) at worst, average, and best case. 
I think that this algorithm is MergeSort, due to the fact that it has all of its time complexities at O(nLogn). This is the only algorithm, and the only graph which displays these qualities. 
																
Algorithm 1	Average Sort Time for Three Runs (nsec)															
Input Size	Random	  Ascending	Descending	nlnn	    n^2											
1000	      3.23E+05	4.08E+05	4.07E+05	  6.91E+03	1.00E+06											
2000	      1.74E+06	1.27E+06	2.25E+06	  1.52E+04	4.00E+06											
3000	      4.51E+06	3.15E+06	4.81E+06	  2.40E+04	9.00E+06											
4000	      4.95E+06	5.71E+06	7.53E+06	  3.32E+04	1.60E+07											
6000	      1.04E+07	1.35E+07	1.40E+07	  5.22E+04	3.60E+07											
10000	      2.59E+07	2.42E+07	2.92E+07  	9.21E+04	1.00E+08											
15000	      5.70E+07	5.45E+07	8.04E+07	  1.44E+05	2.25E+08											
I think that the time complexity of algorithm 1 is O(n^2) at best, average, and worst case. 
I think that this algorithm is SelectionSort, due to the fact that it is the only algorithm with the graph where all of the lines match and demonstrate the n^2 quality.																
																															
Algorithm 2	Average Sort Time for Three Runs (nsec)															
Input Size	Random	Ascending	Descending	nlnn	n2	n										
1000	      1.50E+06	2.10E+03	9.17E+05	6.91E+03	1.00E+06	1.00E+03										
2000	      4.98E+06	2.77E+03	4.13E+06	1.52E+04	4.00E+06	2.00E+03										
